company_id,url,source_type,priority
1,https://sincereed.com/,official,1
2,https://www.mamiya-its.co.jp/,official,1
2,https://www.mamiya-its.co.jp/company/,official,2
1,https://sincereed.com/company,official,1
1,https://sincereed.com/recruit,official,1
1,https://www.wantedly.com/companies/sincereed,agg,9
1,https://jp.openwork.jp/company.php?m_id=a0C3X00001GkM2jUAF,agg,9
2,https://www.mamiya-its.co.jp/recruit/,official,1
2,https://www.green-japan.com/company/10735,agg,9
2,https://usonar.co.jp/companies/1000000005639,agg,9
